epoch, box_loss, cls_loss, loss
1,0.0037083544,1.4476416,1.7281926
2,0.0033816705,0.55485654,0.8190852
3,0.0026409824,0.40385872,0.6310538
4,0.0024361955,0.36060238,0.57755595
5,0.0024581929,0.32911825,0.5471681
6,0.0024320295,0.28992754,0.50666493
8,0.0023501995,0.27623886,0.4888751
9,0.002313692,0.27065888,0.48146492
10,0.0022855615,0.27233464,0.48172942
11,0.0022967064,0.26934454,0.4792916
12,0.0023216975,0.26680884,0.4780007
13,0.0023297975,0.26650777,0.47809997
14,0.0023771334,0.27123475,0.4851892
15,0.002360071,0.26892847,0.48202568
16,0.0023388555,0.26862195,0.48065388
17,0.002364613,0.27080518,0.48412052

